Ссылка;Название;Сайт;Телефон;Email
"https://upakexpo-online.ru/companies/company/30986-vip-sistemy-ao.html";"ВИП-Системы, АО";"http://www.vipsys.ru";"+7 495 165 05 05";"vipsys@vipsys.ru"
"https://upakexpo-online.ru/companies/company/36347-wirso.html";"ВИРСО ТЕХ, ООО";"https://wirso.ru";"+7 (495) 128-96-28";"info@wirso.ru"
"https://upakexpo-online.ru/companies/company/33341-gavo-mexanika.html";"Гаво Механика";"https://www.gavomeccanica.com";"+39 0573838580";"moscow@gavo.moscow"
"https://upakexpo-online.ru/companies/company/36362-gaz-servis-ooo.html";"Газ-Сервис, ООО";"https://ch-russia.ru";"+7 918 132 77 57";"RSM10@mail.ru"
"https://upakexpo-online.ru/companies/company/18585-gamma-plast-ooo.html";"ГАММА-ПЛАСТ, ООО";"http://www.gamma-plast.ru";"+7(495)348-09-11";"info@gamma-plast.ru"
"https://upakexpo-online.ru/companies/company/35454-garant-upak-servis-ooo.html";"ГАРАНТ-УПАК-СЕРВИС, ООО";"https://gu-s.ru";"+7 (977) 691-90-44";"garant-upak@yandex.ru"
"https://upakexpo-online.ru/companies/company/22880-gbpou-goroda-moskvy-mipk-im-i-fedorova.html";"ГБПОУ города Москвы МИПК им. И. Федорова";"https://mipkif.mskobr";"+7(499)188-21-47";"spo-mipkif@edu.mos.ru"
"https://upakexpo-online.ru/companies/company/28633-giden-elektroniks-ooo.html";"ГИДЕН ЭЛЕКТРОНИКС, ООО";"http://www.giden.ru";"+7(495)225-54-52";"sale@giden.ru"
"https://upakexpo-online.ru/companies/company/23528-gk-spektr.html";"ГК СПЕКТР, ООО";"https://www.spektr-gk.ru";"+7-987-751-03-77";"techdir@spektr-gk.ru"
"https://upakexpo-online.ru/companies/company/18514-gofromir-ooo.html";"Гофромир, ООО";"http://www.gofromir.ru";"+7 909 626 00 98";"dv@gofromir.ru"
"https://upakexpo-online.ru/companies/company/33302-grafie-paketie.html";"ГРАФЪ ПАКЕТЪ";"http://www.grafpaket.ru";"+7 919-274-11-11";"graff.pack@yandex.ru"
"https://upakexpo-online.ru/companies/company/26914-deltalizing-ooo.html";"ДельтаЛизинг, ООО";"https://www.deltaleasing.ru";"+7(800)200-01-80";"info@deltaleasing.ru"
"https://upakexpo-online.ru/companies/company/18657-dzhingmoda-rus-ooo.html";"Джингмода Рус, ООО";"https://jingmoda.com";"+7 800 300 56 80";"sales@jmd-rus.ru"
"https://upakexpo-online.ru/companies/company/18594-difleks-ooo.html";"ДИФЛЕКС, ООО";"https://diflex.ru";"+7(499)703 44 99";"info@diflex.ru"
"https://upakexpo-online.ru/companies/company/18460-evropolimer-trejding-ooo.html";"Европолимер-Трейдинг, ООО";"https://europolymer-trading.ru";"+7(800)222-40-61";"trade@ep-group.ru"
"https://upakexpo-online.ru/companies/company/17872-evrochiller-rus-ooo.html";"ЕВРОЧИЛЛЕР РУС, ООО";"http://www.echiller.ru";"+7(495)369-00-01";"info@echiller.ru"
"https://upakexpo-online.ru/companies/company/26974-zabelin-vyduvnye-mashiny.html";"Забелин выдувные машины";"https://www.zabelin.ru";"+7(495)648-66-60";"sales@zabelin.ru"
"https://upakexpo-online.ru/companies/company/22685-vr-plast-ooo.html";"Завод";"http://www.standart-prof.ru";"+7 (800) 700-77-24";"zakaz@standart-prof.ru"
"https://upakexpo-online.ru/companies/company/37598-zavod-plastgrupp-ooo.html";"Завод ПЛАСТГРУПП, ООО";"http://plastgroupp.ru";"8 800 350-42-15";"zavod@plastgroupp.ru"
"https://upakexpo-online.ru/companies/company/27046-korporatsiya-znak-ooo.html";"ЗНАКТЕХ";"https://znaktech.ru";"+74959953305";"sales@znaktech.ru"
"https://upakexpo-online.ru/companies/company/17965-imid.html";"ИМИД, ООО";"http://www.imid.ru";"+7(495)739-53-94";"info@imid.ru"
"https://upakexpo-online.ru/companies/company/23660-industriya-pechati-zhurnal.html";"Индустрия печати, журнал";"http://www.printindustry.ru";"+7(951)646-09-12";"shmakov@printindustry.ru"
"https://upakexpo-online.ru/companies/company/18406-integral-plyus-ooo.html";"Интеграл Плюс, ООО";"http://www";"8 800 500 67 63";"market@integralplus.ru"
"https://upakexpo-online.ru/companies/company/18490-interplast-ooo.html";"ИНТЕРПЛАСТ, ООО";"https://www.plasticmachinery.ru";"+7(800)555-08-60";"info@plasticmachinery.ru"
"https://upakexpo-online.ru/companies/company/18127-inshu-ooo.html";"Иньшу, ООО";"https://inshu.ru";"+7(347)299-22-07";"inshultd@gmail.com"
"https://upakexpo-online.ru/companies/company/26421-ist-indastrial-sepport-ooo.html";"Ист Индастриал Сэппорт, ООО";"https://www.eisupport.ru";"+7(928)270-25-57";"eisupport@mail.ru"
"https://upakexpo-online.ru/companies/company/37622-kaplain.html";"Каплайн";"http://www.cupline.by";"+375447187133";"ooo.cupline@yandex.ru"
"https://upakexpo-online.ru/companies/company/38522-kifa.html";"КИФА";"http://www.qifa.ru";"+7 495 149 29 23";"support@qifa.ru"
"https://upakexpo-online.ru/companies/company/18388-td-kraft.html";"КРАФТ, ТД";"http://www.tdkraft.ru";"+7(800)600-56-15";"info@tdkraft.ru"
"https://upakexpo-online.ru/companies/company/26740-ao-npo-kripten.html";"КРИПТЕН";"http://www.krypten.ru";"+74957770722";"sale@krypten.ru"
"https://upakexpo-online.ru/companies/company/27055-syankhaj.html";"КСЯНХАЙ";"http://xiangmh.com";"+9257358905";"xianghai@mail.ru"
"https://upakexpo-online.ru/companies/company/23285-izdatelstvo-kursiv-ooo.html";"КУРСИВ, ООО, Издательство";"http://www.kursiv.ru";"+7(495)602-02-62";"info@kursiv.ru"
"https://upakexpo-online.ru/companies/company/32705-legion.html";"Легион";"http://www.legion.ru";"8 (800) 550 07 40";"welcome@legion.ru"
"https://upakexpo-online.ru/companies/company/18010-liansu-machinery-manufacturing-co-ltd.html";"Лиансу Машинери Мануфактуринг Ко. ЛТД";"https://www.liansu.ru";"757-23888340";"info@liansu.ru"
"https://upakexpo-online.ru/companies/company/17944-lider-mashineri-leader-machinery.html";"Лидер Машинери";"http://www.extruder-cn.ru";"+7(903)118-83-33";"RussiaLeaderMachinery@gmail.com"
"https://upakexpo-online.ru/companies/company/37788-liton.html";"Литон";"https://www.liton.ru";"8332)22-42-01";"com1@liton.ru"
"https://upakexpo-online.ru/companies/company/26887-magikon-i-k-ooo.html";"МАГИКОН и К, ООО";"http://www.magikon.ru";"+74957874260";"info@magikon.ru"
"https://upakexpo-online.ru/companies/company/32972-stirex.html";"Машиностроительный завод Stirex";"http://www.stirex.ru";"+7 495 232 41 27";"info@stirex.ru"
"https://upakexpo-online.ru/companies/company/26625-mg-plast-ooo.html";"МГ ПЛАСТ, ООО";"http://www.magicplast.ru";"+7-925 -502- 55 -83";"5025583@mail.ru"
"https://upakexpo-online.ru/companies/company/32642-metalloprokatnaia-kompaniia-ooo.html";"Металлопрокатная компания, ООО";"http://www.tinergy.by";"+375 2152 5-13-37";"support@tinergy.by"
"https://upakexpo-online.ru/companies/company/23048-fgaou-vo-moskovskij-politekhnicheskij-universitet.html";"Московский Политех";"http://www.mospolytech.ru";"+7(495)223-05-23";"mospolytech@mospolytech.ru"
"https://upakexpo-online.ru/companies/company/26890-nissa-distributsiya-ooo.html";"НИССА Дистрибуция";"http://www.offitec.ru";"+74959564007";"nissa_nd@nissa.ru"
"https://upakexpo-online.ru/companies/company/23267-np-natsionalnaya-konfederatsiya-upakovshchikov-nkpak.html";"НКПак (Национальная конфедерация упаковщиков)";"http://www.ncpack.ru";"+7(495)964-83-70";"ncpack@mail.ru"
"https://upakexpo-online.ru/companies/company/27040-nova-m-ooo.html";"Нова-М, ООО";"http://nova-m.ru";"+7 495 221 10 47";"info@nova-m.ru"
"https://upakexpo-online.ru/companies/company/37679-novopet-ooo.html";"НОВОПЭТ, ООО";"https://novopet-zip.ru";"+7(926)8794022";"novopet@inbox.ru"
"https://upakexpo-online.ru/companies/company/35942-npt-energiia-ooo.html";"НПТ Энергия, ООО";"https://wheil.pro";"+7 (495) 542-22-81";"info@wheil.pro"
"https://upakexpo-online.ru/companies/company/18648-npf-lpk-ooo.html";"НПФ ЛПК, ООО";"http://lpk.su";"+7(812)708-00-20";"info@lpk.su"
"https://upakexpo-online.ru/companies/company/26884-ob-edinennye-markirovochnye-sistemy-ooo.html";"Объединенные маркировочные системы, ООО";"http://www.oms-holding.ru";"+74959840489";"s.smolnikova@kba-mondo.ru"
"https://upakexpo-online.ru/companies/company/17863-omega-plasto-rasha-ooo.html";"ОМЕГА ПЛАСТО РАША, ООО";"http://www.omegaplasto.com";"+7(495)902-63-24";"russia@omegaplasto.com"
"https://upakexpo-online.ru/companies/company/26535-pakland-ooo.html";"ПАКЛАНД, ООО";"http://www.packland.ru";"+7 916 309 03 38";"info@packland.ru"
"https://upakexpo-online.ru/companies/company/38645-pakriteil.html";"Пакритейл";"http://www.packmarket.ru";"+7 989 098 16 31";"nik@packmarket.ru"
"https://upakexpo-online.ru/companies/company/18582-plastik-ao.html";"ПЛАСТИК, АО";"http://www.oaoplastic.ru";"+7(487)312-47-31";"info@oaoplastic.ru"
"https://upakexpo-online.ru/companies/company/37794-polidis.html";"Полидис";"http://www.polydis.su";"+74912434381";"info@polydis.su"
"https://upakexpo-online.ru/companies/company/18469-polimer-proekt-td-ooo.html";"ПОЛИМЕР ПРОЕКТ";"https://www.polymerproject.ru";"+7(495)995-82-46";"polimerproekt@list.ru"
"https://upakexpo-online.ru/companies/company/22311-polimerservis-td-ooo.html";"ПОЛИМЕРСЕРВИС";"https://polymerservice.com";"+7(916)983-74-47";"polymer@polymerservice.com.ru"
"https://upakexpo-online.ru/companies/company/22287-polimekh-grupp.html";"ПОЛИМЕХ, ООО";"https://polimech.ru";"+7 (499) 372-17-06";"pm-info@polimech.ru"
"https://upakexpo-online.ru/companies/company/17896-politekhnika-inzhiniringovaya-kompaniya.html";"Политехника, Инжиниринговая компания";"http://www.polytechnika.ru";"8 (800) 505-37-45";"order@polytechnika.ru"
"https://upakexpo-online.ru/companies/company/37599-poliform-ooo.html";"ПОЛИФОРМ, ООО";"https://pkpf.ru";"+7 (930) 2-111-000";"info@pkpf.ru"
"https://upakexpo-online.ru/companies/company/23702-frozer-ooo.html";"ПРОМИНЖХОЛОД (FROZER)";"https://frozer.ru";"+7(495) 204-30-01";"info@chiller.su"
"https://upakexpo-online.ru/companies/company/37553-promkout-ooo.html";"ПРОМКОУТ, ООО";"https://promcoat.ru";"+7 (812) 441-38-31";"zakaz@promcoat.ru"
"https://upakexpo-online.ru/companies/company/17935-promyshlennye-sistemy-i-komponenty-ooo.html";"Промышленные системы и компоненты";"http://www.promsistem.com";"+7(901)519-99-45";"9799945@mail.ru"
"https://upakexpo-online.ru/companies/company/37592-protexno.html";"ПроТехно, ООО";"https://www.pro-tehno.ru";"+7 (812) 320-30-39";"info@pro-tehno.ru"
"https://upakexpo-online.ru/companies/company/32621-rai-ooo.html";"РАИ, ООО";"http://www.packfood.ru";"+7 (831) 214-04-01";"general@packfood.ru"
"https://upakexpo-online.ru/companies/company/18400-robotek-proizvodstvennaya-kompaniya.html";"Роботек, производственная компания";"http://www.robotekplus.ru";"+79264982325";"zakaz@robotekplus.ru"
"https://upakexpo-online.ru/companies/company/28645-rozgrand-ooo.html";"РОЗГРАНД";"http://www.rozgrand.ru";"+78612034689";"novikova_m@rozgrand.ru"
"https://upakexpo-online.ru/companies/company/38588-rsv-gruppa-kompanii.html";"РСВ, Группа Компаний";"http://www.rsv31.ru";"+7 910 520 06 81";"sales@rsv31.ru"
"https://upakexpo-online.ru/companies/company/18124-sajntifik-ooo.html";"Сайнтифик, ООО";"https://sntf.ru";"8 800 550-76-90";"info@sntf.ru"
"https://upakexpo-online.ru/companies/company/22472-sakmi-moskva-ooo.html";"САКМИ МОСКВА, ООО";"http://sacmi.com";"+7(499)753-48-10";"info@sacmi.ru"
"https://upakexpo-online.ru/companies/company/22387-shanghai-sum-win-industry-co-ltd.html";"САМ-ВИН РОССИЯ";"https://www.sum-win.ru";"+7(999)236-82-95";"info@sum-win.ru"
"https://upakexpo-online.ru/companies/company/36340-smart-data-ooo.html";"СМАРТ-Дата, ООО";"https://smart-data.by";"+375 (29) 698-94-68";"info@smart-data.by"
"https://upakexpo-online.ru/companies/company/37061-sptservis.html";"СмартПак";"https://sptlab.ru";"88005550030";"hello@sptlab.ru"
"https://upakexpo-online.ru/companies/company/18478-smi-russiya-ooo.html";"СМИ РУССИА, ООО";"http://www.smigroup.ru";"+798504002303";"sales.russia@smigroup.net"
"https://upakexpo-online.ru/companies/company/32627-sovremennye-reseniia-ooo.html";"Современные решения, ООО";"https://www.modern-s.ru";"+7(800)200-86-17";"info@modern-s.ru"
"https://upakexpo-online.ru/companies/company/32726-seif-kep-ooo.html";"Сэйф Кэп, ООО";"http://www.safecap.ru";"+79585573404";"sc@safecap.ru"
"https://upakexpo-online.ru/companies/company/23279-tara-i-upakovka-zhurnal.html";"Тара и упаковка, журнал";"http://www.magpack.ru";"+7(495)644-04-03";"magpack@mail.ru"
"https://upakexpo-online.ru/companies/company/38525-tbm.html";"ТБМ";"https://tbm.com";"+7(927)260-91-03";"trunin@tbm.com.ru"
"https://upakexpo-online.ru/companies/company/33818-tepofol.html";"Тепофол";"https://tepofol.ru";"8800 700 30 48";"info@tepofol.ru"
"https://upakexpo-online.ru/companies/company/26562-terem.html";"ТЕРЕМ";"http://www.terem.ru";"+74951086804";"sales@terem.ru"
"https://upakexpo-online.ru/companies/company/26227-terra-print-pro-ooo.html";"ТЕРРА ПРИНТ ПРО, ООО";"http://www.terraprint.ru";"4951202783";"info@terraprint.ru"
"https://upakexpo-online.ru/companies/company/18630-tekhnokinetik-ooo.html";"ТЕХНОКИНЕТИК, ООО";"https://www.technokeenetic.ru";"+7(915)545-66-36";"sales@technokeenetic.ru"
"https://upakexpo-online.ru/companies/company/33299-ofisnaia-poligrafiia-plius-ooo.html";"Технопринт";"http://www.tehno-print.com";"8 (495) 925-00-97";"info@tehno-print.com"
"https://upakexpo-online.ru/companies/company/26726-tika-pro.html";"ТИКА ПРО";"http://www.tica.ru";"+7(495)822-29-00";"info@tica.ru"
"https://upakexpo-online.ru/companies/company/32927-tse-konverting-ooo.html";"ТСЕ Конвертинг";"https://www.tce-converting.ru";"+905301560822";"print@tce-converting.ru"
"https://upakexpo-online.ru/companies/company/37772-fgbou-vo-rgu-im-an-kosygina.html";"ФГБОУ ВО";"http://www.rguk.ru";"+7(495)811-01-01";"info@rguk.ru"
"https://upakexpo-online.ru/companies/company/38540-fimako.html";"Фимако";"http://fimako.ru";"84360) 20-400";"info@fimako.ru"
"https://upakexpo-online.ru/companies/company/18397-forintek-ntts-at-zao.html";"Форинтек НТЦ АТ, ЗАО";"https://forintek.ru";"+7(495)781-61-46";"forintek@forintek.ru"
"https://upakexpo-online.ru/companies/company/18040-formotronik-ooo.html";"Формотроник, ООО";"https://www.formotronik-nn.ru";"+7(800)500-26-38";"info@form-nn.ru"
"https://upakexpo-online.ru/companies/company/37634-fudpak.html";"Фудпак";"http://www.qpac.ru";"+7 985 664 38 39";"pinacci-store@mail.ru"
"https://upakexpo-online.ru/companies/company/32969-xoift-evraziia-ooo.html";"ХОЙФТ ЕВРАЗИЯ, ООО";"https://heuft-ru.com";"+4959358704";"eurasia@heuft-ru.com"
"https://upakexpo-online.ru/companies/company/32516-xualian-masineri.html";"Хуалянь Машинери";"https://hmru.ru";"+78005001495";"info@hmru.ru"
"https://upakexpo-online.ru/companies/company/37706-dzinben.html";"ШАНХАЙСКАЯ ПРОМЫШЛЕННАЯ КОМПАНИЯ ДЖИНБЕН КО., ЛТД.";"http://www.jbenbottlingline.com";"+86 152 0183 9043";"angelina@jinbencn.com"
"https://upakexpo-online.ru/companies/company/26717-shmalts-ooo.html";"Шмальц, ООО";"http://www.вакуумныеприсоски.рф; www";"+7(495)967-12-48";"post@ruschmalz.ru"
"https://upakexpo-online.ru/companies/company/26367-evatemp-ooo.html";"ЭваТэмп, ООО";"https://evatemp.ru";"+7(495)3690864";"info@evatemp.ru"
"https://upakexpo-online.ru/companies/company/18472-eksimpak-oborudovanie-ooo.html";"Эксимпак-Оборудование, ООО";"https://www.eximpack.com";"+7(812)676-24-15";"office@eximpack.com"
"https://upakexpo-online.ru/companies/company/18672-erkur-makine-iml-pl-ic-ve-dis-tic-ltd-sti.html";"Эркур Макина";"https://www.erkur.com";"+90 212 655 00 72";"info@erkur.com"
"https://upakexpo-online.ru/companies/company/37580-effektivnaia-texnika.html";"Эффективная техника";"http://www.vekpmt.ru";"+7 (495) 374 45 44";"7071404@vekpmt.ru"
"https://upakexpo-online.ru/companies/company/38200-aero-mould-co-ltd.html";"AERO MOULD CO.,LTD";"http://www.aeromould.com";"+86-13666469798";"aero18@aeromoulds.com"
"https://upakexpo-online.ru/companies/company/38543-allplast.html";"Allplast";"https://allplast-algerie.com";"770278673";"samin.ghebriou@allplast.algerie.com"
"https://upakexpo-online.ru/companies/company/39020-allwell-oyang.html";"ALLWELL/OYANG";"http://www.oyang-group.com";"+86(577)58123188";"sales6@allwell-group.com"
"https://upakexpo-online.ru/companies/company/37812-altopack-spa.html";"ALTOPACK S.P.A.";"http://www.asap-fe.com";"+7 812 363 47 70";"assistant@asap-fe.com"
"https://upakexpo-online.ru/companies/company/22655-aref-sogutma-sistemleri-dis-tic-ltd-sti.html";"Aref Sogutma Sis D?? Tic Ltd ?ti";"https://www.arefsogutma.com";"";"sales1@arefsogutma.com"
"https://upakexpo-online.ru/companies/company/26310-atac-teknik-ve-plastik-makina-san-tic-ltd-sti.html";"Ata? Teknik ve Plastik Makine San Tic Ltd Sti";"http://www.atacmak.com";"(90) 2125494700";"export@atacmak.com"
"https://upakexpo-online.ru/companies/company/35945-beijing-higher-horizons-exhibition.html";"Beijing Higher Horizons Exhibition";"http://www.bj-higherhorizons.com";"8612270765";"maxwell-wen@bj-higherhorizons.com"
"https://upakexpo-online.ru/companies/company/26319-candar-otomasyon-sistemleri-san-tic-ltd-sti.html";"Candar Otomasyon Sistemleri San Tic Ltd Sti";"http://www.candarmakina.com";"(90)2126746164";"info@candarmakina.com"
"https://upakexpo-online.ru/companies/company/37806-cavanna-spa.html";"Cavanna S.P.A";"http://www.asap-fe.com";"+7 812 363 47 70";"assistant@asap-fe.com"
"https://upakexpo-online.ru/companies/company/37854-changzhou-moon-fauntain-trading-co-ltd.html";"CHANGZHOU MOON FAUNTAIN TRADING CO.,LTD";"https://163.com";"775171877";"outhentaisy@vip.163.com"
"https://upakexpo-online.ru/companies/company/37808-comek-srl.html";"Comek S.r.l.";"http://www.asap-fe.com";"+7 812 363 47 70";"assistant@asap-fe.com"
"https://upakexpo-online.ru/companies/company/26442-contec-makina-imalat-uretim-san-ic-ve-dis-tic-ltd-sti.html";"Contec Makine ?retim San ve ?? D?s Tic A.S";"https://www.contecmakina.com";"+(90)543 356 03 03";"olga@contecmakina.com"
"https://upakexpo-online.ru/companies/company/38118-corstar-blown-film-machinery.html";"CORSTAR BLOWN FILM MACHINERY";"https://www.corstarcn.com";"760-23976182";"sales@costar2007.com"
"https://upakexpo-online.ru/companies/company/39056-cppia.html";"CPPIA";"http://www.cppia.com";"8610) 65592882";"jnzgsx@163.com"
"https://upakexpo-online.ru/companies/company/23570-dmk-dizayn-makine-kal-p-san-ve-tic-ltd-ti.html";"Dmk Dizayn Makina Kal?p San ve Tic Ltd Sti";"http://www.thermoformingmachine.com";"";"dmk@dmkkalip.com"
"https://upakexpo-online.ru/companies/company/38384-dongguan-aoqite-automatic-equipment-co-ltd.html";"Dongguan AoQiTe Automatic Equipment Co.,Ltd.";"http://www.aqtmachinery.comhttps";"769)82327908";"autoplasticmachine@aliyun.com"
"https://upakexpo-online.ru/companies/company/39029-dongmingyue.html";"DONGMINGYUE";"http://www.baosteel-tinplate.com";"+86(21)5669 0379";"xhren_003@hotmail.com"
"https://upakexpo-online.ru/companies/company/37064-eryildiz-makina-san-ve-tic-ltd-sti.html";"Ery?ld?z Makine San ve Tic Ltd Sti";"https://www.eryildizmakina.com";"+90 549 670 60 69";"info@eryildizmakina.com.tr"
"https://upakexpo-online.ru/companies/company/37914-foshan-baijinyi-precise-technology-co-ltd.html";"FOSHAN BAIJINYI PRECISE TECHNOLOGY CO., LTD";"https://www.bjypetmold.com";"757-87780610";"info@bjypetmold.com"
"https://upakexpo-online.ru/companies/company/37946-fujian-quanzhou-kaijing-import-and-export-trading-co-ltd.html";"FUJIAN QUANZHOU KAIJING IMPORT AND EXPORT TRADING CO., LTD.";"http://www.kaianpack.com";"0086-15959883298";"coco@kaianpack.com"
"https://upakexpo-online.ru/companies/company/39011-golden-eagle-estes-group.html";"Golden Eagle & Estes Group";"http://www.goldeneagle-estes.comwww";"758019928";"manager@goldeneagle-can-machinery.com"
"https://upakexpo-online.ru/companies/company/37664-goran-pack.html";"GoranPack";"";"";""
"https://upakexpo-online.ru/companies/company/32549-group-pack-srl.html";"Group Pack S.r.l.";"http://www.group-pack.com";"+74996851080";"info@group-pack.com"
"https://upakexpo-online.ru/companies/company/32672-guangdong-zhenxiong-machinery-co-ltd.html";"Guangdong Zhenxiong Machinery Co., Ltd.";"http://en.zxjixie";"88235011111";"380098151@qq.com"
"https://upakexpo-online.ru/companies/company/38368-guangzhou-huayan-precision-machinery-co-ltd.html";"Guangzhou Huayan Precision Machinery Co., Ltd";"http://www.huayanpet.com";"+86(20)32639288";"sydneyliao@gzhuayan.com"
"https://upakexpo-online.ru/companies/company/38352-guangzhou-ribo-precision-machinery-co-ltd.html";"Guangzhou Ribo Precision Machinery Co., Ltd.";"http://www.ribo-tech.com";"+86(20)82791886";"thmsmar@163.com"
"https://upakexpo-online.ru/companies/company/37944-guangzhou-u-packer-automation-equipment-co-ltd.html";"GUANGZHOU U-PACKER AUTOMATION EQUIPMENT CO. ?LTD";"https://www.u-packer.com";"825061309";"autumn@u-packer.com"
"https://upakexpo-online.ru/companies/company/38456-hanbo-materials-co-ltd.html";"HANBO MATERIALS CO., LTD";"http://www.hanbomat.com";"15071385911";"luna@hanbomat.com"
"https://upakexpo-online.ru/companies/company/37848-hangzhou-yongsheng-plastic-antistatic-material-factory.html";"Hangzhou Yongsheng Plastic Antistatic Material Factory";"https://www.yongshengchem.com";"8618758036777";"yongsheng@yongshengchem.con"
"https://upakexpo-online.ru/companies/company/37646-herzpack-shanghai-machinery-co-ltd.html";"HERZPACK (Shanghai) Machinery CO., LTD";"http://www.herzpack.com";"86 136 2171 6724";"info@herzpack.com"
"https://upakexpo-online.ru/companies/company/38178-honsea-technology-co-ltd.html";"Honsea Technology Co., Ltd.";"https://www.honsea.com/index.php";"+86(20)38870989";"jiangfeng@honsea.com"
"https://upakexpo-online.ru/companies/company/38594-incenter.html";"inCenter";"http://www.incentr.shop";"+7 499 290 77 50";"zakaz@incentr.shop"
"https://upakexpo-online.ru/companies/company/34010-innovacionnye-pecatnye-sistemy-ooo.html";"IQDEMY";"http://www.iqdemy-print.ru";"+7 (383) 209 209 8";"office@iqdemy.ch"
"https://upakexpo-online.ru/companies/company/39014-jasu.html";"JASU";"http://www.jasuisbmmachines.com";"/";"MONICA.LEE@JASU-CNC.COM"
"https://upakexpo-online.ru/companies/company/38380-jiangyin-guibao-rubber-and-plastics-machinery-co-ltd.html";"jiangyin guibao rubber and plastics machinery co.,ltd";"http://www.silstar-cn.com";"812159912";"cathy@silstar-cn.com"
"https://upakexpo-online.ru/companies/company/38366-jiangyin-jiade-machinery-co-ltd.html";"JIANGYIN JIADE MACHINERY CO.,LTD";"http://en.jyjiade";"+86(510)86363369";"jane@gader-cn.com"
"https://upakexpo-online.ru/companies/company/38394-jiangyin-yuexing-machinery-co-ltd.html";"JIANGYIN YUEXING MACHINERY CO., LTD.";"http://www.yuexingmach.com";"812181099";"joshua@yuexingmach.com"
"https://upakexpo-online.ru/companies/company/38382-jinan-mgreenbelt-machinery-co-ltd.html";"Jinan Mgreenbelt Machinery Co.,Ltd";"https://www.mgreenbeltchillers.com";"7686681041";"358999442@qq.com"
"https://upakexpo-online.ru/companies/company/18094-d-i-sinma.html";"JUNMA";"https://www.disinma.ru";"+7 (985) 400-17-63";"dima@dilcom.ru"
