Ссылка;Название;Сайт;Телефон;Email;Страна;Стенд;Адрес
"https://vodexpo.ru/katalog/tproduct/514362613-323498217222-elma-asterion-gk";"ЭЛМА-АСТЕРИОН, ГК";"https://td-elma.ru";"+7 (812) 490-75-03";"info@td-elma.ru";"";"Р9";"188653, Ленинградская область, Всеволожский район, территория массив Производственный, строение 11, помещение 4"
"https://vodexpo.ru/katalog/tproduct/514362613-598791127762-birzha-vodnih-vakansii";"БИРЖА ВОДНЫХ ВАКАНСИЙ";"";"+7 (910)-451-03-13";"info@waterjob.ru";"";"Р7";"г. Москва, ул. Рябиновая 26/1, БЦ West Plaza, 9 этаж"
"https://vodexpo.ru/katalog/tproduct/514362613-936571113212-mai-proekt-ao";"МАЙ ПРОЕКТ, АО";"https://www.myproject.msk.ru";"+7 (495) 981-98-80";"info@myproject.msk.ru";"";"P13";"г. Москва, Хорошёвское шоссе, д. 25-Б, 4 этаж, «ДИНАСТИЯ ПЛАЗА»"
"https://vodexpo.ru/katalog/tproduct/514362613-515313488172-gidrokord-ooo";"ГИДРОКОРД, ООО";"https://hydrocord.ru/";"+7 (343) 222-73-22";"ukp@gydromix.ru";"";"B13";"Екатеринбург Крестинского 46а оф 401"
"https://vodexpo.ru/katalog/tproduct/514362613-675418147662-dts-ooo";"ДТС, ООО";"https://www.dts-group.ru";"8-495-104-38-00";"info@dts-group.ru";"";"E16";"125239, Москва, ул. Коптевская, д. 67, оф. 111"
"https://vodexpo.ru/katalog/tproduct/514362613-454065499742-novaya-avtomatika-ooo";"НОВАЯ АВТОМАТИКА, ООО";"http://www.new-automatics.ru/";"8 (804) 333-74-73";"info-na@mail.ru";"";"A1";"302025, Орловская область, г. Орёл, Московское шоссе, дом № 137, корпус 4, помещение 22"
"https://vodexpo.ru/katalog/tproduct/514362613-840525872422-gidriks-ooo-npp";"ГИДРИКС, ООО НПП";"https://hydrig.ru/";"8 (800) 301-01-88, 8 (495) 788-01-88";"nfo@hydrig.ru";"";"D7";"117638, Москва, ул. Одесская, 2 БЦ Лотос, Башня А, этаж 5, пом. 4"
"https://vodexpo.ru/katalog/tproduct/514362613-689805170632-rde-inzhiniring-ooo";"РДЭ ИНЖИНИРИНГ, ООО";"https://rdegroup.ru/";"+7 (495) 668-32-90";"sales@rdegroup.ru";"";"D4";"г. Москва, ул. Новоостаповская, д. 5, стр. 14, этаж 5"
"https://vodexpo.ru/katalog/tproduct/514362613-773165202522-apvell-ooo";"АПВЕЛЛ, ООО";"https://apvell.ru/";"+7 (981) 981-44-00";"info@apvell.ru";"";"B14";"195043, г. Санкт-Петербург, ул. Лесопарковая, д. 13, литера А, офис 30"
"https://vodexpo.ru/katalog/tproduct/514362613-710976980102-datum-grupp-ooo";"ДАТУМ ГРУПП, ООО";"https://datum-group.ru/";"+7 (863) 303-20-61";"group@datum-group.ru";"";"E12";"344011, г. Ростов-на-Дону, пер. Доломановский, д. 70г"
"https://vodexpo.ru/katalog/tproduct/514362613-896291011602-torgovii-dom-adl-ooo";"ТОРГОВЫЙ ДОМ АДЛ, ООО";"https://adl.ru/";"+7 (495) 937-89-68";"info@adl.ru";"";"E10";"115432, г. Москва, проспект Андропова, дом 18, корпус 7"
"https://vodexpo.ru/katalog/tproduct/514362613-422695359282-essen-ooo";"ЭССЕН, ООО";"";"+7 495 223-19-30";"info@sterilab.ru";"";"F14";"115516, г. Москва, вн.тер.г. муниципальный округ Царицыно, б-р Кавказский, д.59"
"https://vodexpo.ru/katalog/tproduct/514362613-412618085092-predpriyatie-vzlet-odo";"ПРЕДПРИЯТИЕ ВЗЛЕТ, ОДО";"https://www.vzlet-omsk.ru/";"+7 (3812) 60-11-57";"vzlet@vzlet-omsk.ru";"";"E23";"644013, г. Омск, ул. Завертяева, 36"
"https://vodexpo.ru/katalog/tproduct/514362613-208550334212-dolya-zao";"ДОЛЯ, ЗАО";"https://www.dolya.com/";"375296747572";"dolya@dolya.com";"";"F20";"220014 г. Минск, пер. С. Ковалевской 44Б"
"https://vodexpo.ru/katalog/tproduct/514362613-237138486152-alta-group";"ALTA GROUP";"https://alta-group.ru/";"+7 (499) 113-20-18, 8 800 350-13-04";"info@alta-group.ru";"";"E22";"г. Москва, ул. Автозаводская, д. 25"
"https://vodexpo.ru/katalog/tproduct/514362613-428794043472-korporatsiya-vozduh-ooo";"КОРПОРАЦИЯ ВОЗДУХ, ООО";"https://aircorp.ru/";"";"info@aircorp.ru";"";"B10";"115516, Россия, г. Москва, ул. Промышленная, дом 11"
"https://vodexpo.ru/katalog/tproduct/514362613-558576836422-energetika-ooo-brend-streamlux";"ЭНЕРГЕТИКА, ООО (бренд Streamlux)";"https://www.streamlux.ru/";"8 (499) 955-49-95";"rm@streamlux.ru";"";"E4";"123100, г.Москва, Пресненская набережная, д. 12, комната а30"
"https://vodexpo.ru/katalog/tproduct/514362613-343314334852-arma-inzhiniring-ooo";"АРМА ИНЖИНИРИНГ, ООО";"https://dolium.pro/";"8 (800) 700-72-50";"info@dolium.pro";"";"D5";"394019, г. Воронеж, пер. Лискинский, д. 1А"
"https://vodexpo.ru/katalog/tproduct/514362613-793918833322-triton-ooo";"ТРИТОН, ООО";"https://stormwater.ru/";"+7 (846) 205-16-15";"office@stormwater.ru";"";"B4";"443030, Самарская область, г. Самара, ул. Буянова, д. 120, помещение 306"
"https://vodexpo.ru/katalog/tproduct/514362613-398233681892-viv-ao";"ВИВ, АО";"https://pump.ru/";"+7 (495) 641-00-41";"info@pump.ru";"";"D4";"115054, г. Москва, Большой Строченовский переулок, дом 7, АО "ВИВ""
"https://vodexpo.ru/katalog/tproduct/514362613-523449953462-rosa-zao";"РОСА, ЗАО";"https://www.rossalab.ru/";"8 (495) 435-18-22, +7 (495) 502-44-22";"mail@rossalab.ru";"";"А12";"119297, г. Москва, ул. Родниковая, д. 7, стр. 35"
"https://vodexpo.ru/katalog/tproduct/514362613-797599947142-rosgaz-gk";"РОСГАЗ, ГК";"https://rsgz.ru/";"8 812 448-07-02";"ros@rsgz.ru";"";"C1";"191119, г. Санкт-Петербург, Лиговский пр-кт 92 Г"
"https://vodexpo.ru/katalog/tproduct/514362613-836331518552-institut-elektrohimicheskih-sistem-i-teh";"ИНСТИТУТ ЭЛЕКТРОХИМИЧЕСКИХ СИСТЕМ И ТЕХНОЛОГИЙ ВИТОЛЬДА БАХИРА, ООО";"https://vbinstitute.ru/";"8 495 737-59-29";"eca@vbinstitute.ru";"";"A18";"123154, г. Москва, вн. тер. г. Муниципальный округ Хорошево-Мневники, пр-кт Маршала Жукова, д. 51, помещ.1/1"
"https://vodexpo.ru/katalog/tproduct/514362613-945408229492-topol-eko-gruppa-kompanii";"ТОПОЛ-ЭКО, ГРУППА КОМПАНИЙ";"https://www.topol-eco.ru/";"8 800 333 69 37";"info@topol-eco.ru";"";"E12";"РФ, г. Москва, ул. Бибиревская, дом 10, корп.1"
"https://vodexpo.ru/katalog/tproduct/514362613-161063085832-lyumeks-gk";"ЛЮМЭКС, ГК";"https://www.lumex.ru/";"+7 (812) 335-0-336";"lumex@lumex.ru";"";"C12";"Санкт-Петербург"
"https://vodexpo.ru/katalog/tproduct/514362613-242706924372-infrapolis-ooo";"ИНФРАПОЛИС, ООО";"http://infrapolis.ru/";"8 (812) 922-14-71";"vk@infrapolis.ru";"";"B1";"197376, г.Санкт-Петербург, ул. Профессора Попова, д. 23, литер А, офис 302"
"https://vodexpo.ru/katalog/tproduct/514362613-111037348192-vodokomfort-ooo-firma";"ВОДОКОМФОРТ, ООО ФИРМА";"https://vodokomfort.ru/?ysclid=mj2vx3scp4123208875";"+7 (495) 959-55-45";"info@vodokomfort.ru";"";"D8";"г. Москва, ул. Кожевническая, 16с4"
"https://vodexpo.ru/katalog/tproduct/514362613-151644073452-vavatek-ooo";"ВАВАТЕК, ООО";"https://wawatech.org";"8 (495) 122-24-38";"info@wawatech.org";"";"E29";"107140, РФ, г. Москва, ул. Русаковская, д. 13, офис.14-01-03"
"https://vodexpo.ru/katalog/tproduct/514362613-391409769192-arzamasskii-zavod-kommunalnogo-mashinost";"АРЗАМАССКИЙ ЗАВОД КОММУНАЛЬНОГО МАШИНОСТРОЕНИЯ, АО";"https://www.kommash.ru/";"+7(831) 417-93-93";"office@kommash.ru";"";"E32";"607221 Россия, Нижегородская область, г. Арзамас, ул. 3-я Вокзальная, д. 2"
"https://vodexpo.ru/katalog/tproduct/514362613-953423715282-losbel-ooo";"ЛОСБЕЛ, ООО";"https://losbel.by/";"+375 17774 29715, +375 29 740-11-11";"losbel@mail.ru";"";"B5";"Республика Беларусь, Минская обл., г. Логойск, ул. Минская, 2Г, офис 1-2"
"https://vodexpo.ru/katalog/tproduct/514362613-145311588932-agk-ekologiya-ooo";"АГК ЭКОЛОГИЯ, ООО";"https://www.agk-eco.ru";"8 (800) 550-95-24, +7 (495) 745-98-91 (Москва)";"info@agk-eco.ru";"";"C6";"115088, г. Москва, вн.тер.г. Муниципальныи? Округ Печатники, ул. Угрешская, д.2Б, стр. 1"
"https://vodexpo.ru/katalog/tproduct/514362613-229690187802-ksailrus-ooo";"КСАЙЛРУС, ООО";"https://xylrus.com/";"+7 (495) 120-25-08";"office@xylrus.com";"";"C5";"Москва, ул. Ленинская Слобода, д. 26, строение 2, помещ.3/1"
"https://vodexpo.ru/katalog/tproduct/514362613-469881329792-oks-grupp-ooo";"ОКС ГРУПП, ООО";"https://www.ocs-group.ru/";"+7 (495) 518-62-06";"info@ecolo.ru";"";"E13";"115533, г. Москва, ул. Высокая, д. 3, помещ. 4П"
"https://vodexpo.ru/katalog/tproduct/514362613-421745036262-polimerkonstruktsiya-up";"ПОЛИМЕРКОНСТРУКЦИЯ, УП";"https://polymercon.com/";"+375 (212) 65 06 60, +375 (212) 65 06 70";"info@polymercon.com";"";"E31";"РБ, Витебск, Гагарина 11"
"https://vodexpo.ru/katalog/tproduct/514362613-266175937862-vodomer-ooo";"ВОДОМЕР, ООО";"https://vodomer.su";"+7 (495) 150-38-16";"info@vodomer.su";"";"A19";"141002, Московская область, г. Мытищи, ул. Колпакова, д. 2 корп. 14"
"https://vodexpo.ru/katalog/tproduct/514362613-804889048152-vandiord-grupp-ooo";"ВАНДЙОРД ГРУПП, ООО";"https://vandjord.com/";"+7 (495) 737-30-00, +7 (495) 730-36-55";"info.moscow@vandjord.com";"";"E7";"г. Москва, ул. Школьная, д. 39-41"
"https://vodexpo.ru/katalog/tproduct/514362613-986540623442-ekoinstrument-ooo";"ЭКОИНСТРУМЕНТ, ООО";"https://www.ecoinstrument.ru/";"+7 (495) 745-22-90";"mail@ecoinstrument.ru";"";"Е9";"119049, ул. Крымский Вал, д. 3, стр.2, офис 512"
"https://vodexpo.ru/katalog/tproduct/514362613-899136466922-merapribor";"МЕРАПРИБОР";"https://merapribor.ru/";"8 (812) 740-87-50";"order@merapribor.ru";"";"B15";"г. Санкт-Петербург, наб. Обводного канала, 199-201 П"
"https://vodexpo.ru/katalog/tproduct/514362613-215541411902-vzor-ooo";"ВЗОР, ООО";"https://vzornn.ru/";"8 800 100-23-22";"market@vzor.nnov.ru";"";"F4";"603003, г. Нижний Новгород, ул. Заводской парк, д. 33, пом. 2"
"https://vodexpo.ru/katalog/tproduct/514362613-713389459392-terem-zhelezobetonnie-tehnologii-ooo";"ТЕРЕМ ЖЕЛЕЗОБЕТОННЫЕ ТЕХНОЛОГИИ, ООО";"https://terem-gbi.ru";"8 (86155) 73287, 8 (86159) 46688";"bev@terem-gk.ru";"";"A11";"353290, РФ, Краснодарский край, г. Горячий Ключ, ул. Хадыженская, 28б"
"https://vodexpo.ru/katalog/tproduct/514362613-232371361012-vdk";"VDK";"https://vdktech.ru/";"+7 (495) 763-29-73";"info@vdktech.ru";"";"P13";"109316, Москва, Волгоградский проспект, 42"
"https://vodexpo.ru/katalog/tproduct/514362613-227915014832-etek-ltd-ooo-npf";"ЭТЕК ЛТД, ООО НПФ";"http://www.etek.ru/";"8 (4842) 506-776";"mail@etek.ru";"";"E21";"249844, Калужская область, Дзержинский район, п. Полотняный Завод, ул. Слободка, 115б."
"https://vodexpo.ru/katalog/tproduct/514362613-855089439852-chelyabinskii-mashinostroitelnii-zavod-o";"ЧЕЛЯБИНСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД, ООО";"https://chmz.org/";"8 800 222-03-10";"marketing@chmz.org";"";"E27";"454038, РФ, г. Челябинск, ул. Промышленная, д. 6."
"https://vodexpo.ru/katalog/tproduct/514362613-612878309522-inzhtehmash-ao";"ИНЖТЕХМАШ, АО";"https://engtechmash.ru/";"8 800 550 63 34";"info@engtechmash.ru";"";"E5";"301637, Тульская область, м.р-н Узловский, с.п. Каменецкое, тер. ОЭЗ, ул. Северная, зд. 7"
"https://vodexpo.ru/katalog/tproduct/514362613-235135235382-torgovii-dom-ld-ooo";"ТОРГОВЫЙ ДОМ ЛД, ООО";"https://xn--d1an.xn--p1ai/";"+7 (351) 730-47-47";"оffiсе@ldtd.гu";"";"E24";"454010, г. Челябинск, ул. Енисейская, д. 56, строение 3, этаж 2, помещение 1"
"https://vodexpo.ru/katalog/tproduct/514362613-700487980122-akvastok-ooo";"АКВАСТОК, ООО";"https://www.aquastok.ru/";"8 (861) 279-61-37";"info@aquastok.ru";"";"A4";"350012, Краснодарский край, г. Краснодар, ул. Круговая, д. 44"
"https://vodexpo.ru/katalog/tproduct/514362613-715980334952-sienpi-rus-ooo";"СИЭНПИ РУС, ООО";"https://www.cnprussia.ru/";"+7 (800) 333-10-74";"cnp@cnprussia.ru";"";"C3";"125252, Россия, г. Москва, вн.тер.г. муниципальный округ Хорошевский, улица Авиаконструктора Микояна, д. 12, помещ. 24/1"
"https://vodexpo.ru/katalog/tproduct/514362613-820812753992-akva-lab-ooo";"АКВА-ЛАБ, ООО";"https://xn----7sbabfc9cl.xn--p1ai/";"+7(800)550-37-19";"sales@aqua-lab.com";"";"C2";"Волоколамское ш., 114, корп. 2, стр. 2"
"https://vodexpo.ru/katalog/tproduct/514362613-125104943042-mempeks-ooo";"МЕМПЭКС, ООО";"https://www.mempex.by";"+375 (29) 631-07-71, +375 (29) 127-03-74";"info@mempex.by";"";"E6";"223049, Республика Беларусь, Минский р-н, д. Малиновка (Щомыслицкий с/с), ул. Привольная, д. 2а"
"https://vodexpo.ru/katalog/tproduct/514362613-926095808332-industriya-snabzheniya";"ИНДУСТРИЯ СНАБЖЕНИЯ";"http://ind-snab.ru/";"8 (495) 774 05 10";"sale@ind-snab.ru";"";"F7";"Московская область, г. Люберцы, ул. Комсомольская, дом 15А, корпус СЕКЦИЯ Б, этаж 11, комната 11"
"https://vodexpo.ru/katalog/tproduct/514362613-933138325832-npk-mediana-filtr-ao";"НПК МЕДИАНА-ФИЛЬТР, АО";"https://www.mediana-filter.ru/";"+7 (495) 660-07-71";"info@mediana-filter.ru";"";"B3";"г. Москвуа, ул. Ткацкая, 1"
"https://vodexpo.ru/katalog/tproduct/514362613-990109003102-ikaplast-ooo";"ИКАПЛАСТ, ООО";"https://icaplast.ru/";"8 (812) 240-48-88, 8 (800) 775-64-19";"icaplast@icaplast.ru";"";"D6";""
"https://vodexpo.ru/katalog/tproduct/514362613-351110942042-ohtinskii-mehanicheskii-zavod-ooo";"ОХТИНСКИЙ МЕХАНИЧЕСКИЙ ЗАВОД, ООО";"https://omz-spb.ru/";"8 (800) 550-32-53";"omzoffice@mail.ru";"";"E17";"188660,Россия,Ленинградская область, Всеволожский м.р-н, Бугровское г.п., г. Бугры, пр-д Гаражный стр. 9, к. 1"
"https://vodexpo.ru/katalog/tproduct/514362613-522511297792-plazkat-ooo";"ПЛАЗКАТ, ООО";"https://plazkat.ru/";"8 (812) 493-24-40";"market@plazkat.ru";"";"E26";"197374, Санкт-Петербург, ул. Оптиков, д.4, корп.3А, БЦ Лахта-2, офис 209"
"https://vodexpo.ru/katalog/tproduct/514362613-813406724572-elektropompa-ooo";"ЭЛЕКТРОПОМПА, ООО";"https://electropompa.ru/";"8 (495) 981-92-44";"electropompa@mail.ru";"";"E8";"119415, г. Москва, проспект Вернадского, дом 41, строение I, этаж 6 , помещение I, комната 60 60а, офис 621"
"https://vodexpo.ru/katalog/tproduct/514362613-596720734322-tehnopribor-ooo-npp";"ТЕХНОПРИБОР, ООО НПП";"https://www.tehnopribor.ru/";"8 (495) 661-22-11, 8 800-301-22-11";"sekretar@tehnopribor.ru";"";"F3";"109145, г. Москва, Жулебинский б-р, д. 5, кв. 259"
"https://vodexpo.ru/katalog/tproduct/514362613-629714689242-tu-bio-ooo";"ТУ БИО, ООО";"https://2bio.tech/";"8 (843) 267-60-81";"info@2bio.tech";"";"E20";"1119607, г. Москва, вн. тер. г. муниципальный округ Раменки, бульвар Раменский, д. 1"
"https://vodexpo.ru/katalog/tproduct/514362613-781383716472-privodi-i-tehnika-ooo";"ПРИВОДЫ И ТЕХНИКА, ООО";"https://www.priwody.ru/";"8 495 755 60 06";"pit@priwody.ru";"";"E11";"141432, Московская область, г.о.Химки, г Химки, кв-л Клязьма, д. 1Г, стр. 1, этаж 3, помещ. 32"
"https://vodexpo.ru/katalog/tproduct/514362613-274937927172-poliplast-ooo";"ПОЛИПЛАСТ, ООО";"https://www.poliplast.ru/";"+7 (8112) 66-36-50, +7 (8112) 29-20-50";"marketing@galvanica.ru";"";"B2";"180004, г. Псков, Октябрьский проспект, д. 50, пом. 1001"
"https://vodexpo.ru/katalog/tproduct/514362613-307399645762-ptk-obedinennie-resursi-ooo";"ПТК ОБЪЕДИНЕННЫЕ РЕСУРСЫ, ООО";"https://ptkor.ru/";"8 (812) 509-59-17";"info@ptkor.ru";"";"A15";"г. Санкт-Петербург, ул. Маршала Говорова, д. 35, к. 4, БЦ «Пропаганда», оф. 31-С"
"https://vodexpo.ru/katalog/tproduct/514362613-702615397412-akon-ooo";"АКОН, ООО";"https://acon.ru/";"+7 (495) 803-25-05";"sales@acon.ru";"";"A6";"301832, Тульская область, Богородицкий район, город Богородицк, Вязовский пер, зд. 45а, офис 4"
"https://vodexpo.ru/katalog/tproduct/514362613-615532551032-oniks";"ОНИКС";"https://zaglushka-onix.ru/";"8 800 333 82 74, +7 985 889 96 06";"zaglushka-onix@mail.ru";"";"F8";"Москва, Каширское шоссе д. 41"
"https://vodexpo.ru/katalog/tproduct/514362613-856486854682-heliks-ooo";"ХЕЛИКС, ООО";"";"+7 (499) 755-50-11";"info@helypump.ru";"";"E7";"123007, г. Москва, ул. 4-я Магистральная, д. 5, стр. 1, пом. 1/5"
"https://vodexpo.ru/katalog/tproduct/514362613-631848842992-avtomatika-zao-npp";"АВТОМАТИКА, ЗАО НПП";"http://avtomatica.ru/";"+7 (4922) 779796";"market@avtomatica.ru";"";"A5";"600016, Владимирская обл., г. Владимир, ул.Большая Нижегородская, д.77, к.5"
"https://vodexpo.ru/katalog/tproduct/514362613-985980196542-tobol-ooo";"ТОБОЛ, ООО";"https://tobol-omsk.ru/";"+7 (3812) 538-537, + 7 (495) 568-11-01";"info@tobol-omsk.ru";"";"D3";"644027, Омская область, г. Омск, ул. 1-я Индустриальная, д. 2"
"https://vodexpo.ru/katalog/tproduct/514362613-785696018962-kann-proekt-ooo";"КАНН ПРОЕКТ, ООО";"https://kann.by/";"375 29 660 01 61, +7 980 951 20 23";"info@kann.by";"";"E19";"Республика Беларусь, Минский район, Большое Стиклево, 83, БЦ "TEAMBuilding", 9 этаж"
"https://vodexpo.ru/katalog/tproduct/514362613-397586101352-olmaks";"ОЛЬМАКС";"https://www.olmax.ru/";"+7 (495) 792-59-46";"olmax@olmax.ru";"";"B12";"Москва, Варшавское шоссе, д. 150, к. 1"
"https://vodexpo.ru/katalog/tproduct/514362613-968267451042-amperika";"АМПЕРИКА";"https://amperika.com/";"8-800-250-23-75, 8-926-010-00-33";"info@amperika.com";"";"B7";"г. Москва ул. Выборгская, д. 20, к. 2"
"https://vodexpo.ru/katalog/tproduct/514362613-289365174182-veta-inzhiniring-ooo";"ВЕТА-ИНЖИНИРИНГ, ООО";"https://veta159.ru";"8 (963) 870-35-51, 8 (919) 47-07-000";"info.veta159@mail.ru";"";"A9";"614500, Пермский край, М.О. Пермский, д. Хмели, Ш. Космонавтов, д.312Б, помещ. 202"
"https://vodexpo.ru/katalog/tproduct/514362613-925824237672-lipetskaya-trubnaya-kompaniya-svobodnii";"ЛИПЕЦКАЯ ТРУБНАЯ КОМПАНИЯ СВОБОДНЫЙ СОКОЛ, ООО";"https://ltk.svsokol.ru";"+7 (4742) 55-77-77";"market@svsokol.ru";"";"B16";"398007, г. Липецк, Заводская пл., 1"
"https://vodexpo.ru/katalog/tproduct/514362613-484013871012-fasonlit-ooo";"ФАСОНЛИТ, ООО";"https://vchshg.ru/";"+7 (499) 753-13-38";"info@fasonlit.ru";"";"B16";"127495, Г.Москва, вн.тер. г. Муниципальный Округ Северный, ш Дмитровское, дом 163А, корпус 2, помещ. 04.10"
"https://vodexpo.ru/katalog/tproduct/514362613-598286666972-gc-agma";"GC AGMA";"http://gc-agma.info/";"8 (800) 333-26-54";"gc.info@info.info";"";"C10";"г. Новочеркасск, Харьковское шоссе 48"
"https://vodexpo.ru/katalog/tproduct/514362613-899128670652-rs-voda-ooo";"РС ВОДА, ООО";"https://rswater.ru/";"+7 (495) 055-23-17";"info@rswater.ru";"";"E28";"119330, г. Москва, ул. Мосфильмовская, д. 35 стр. 2, 4 этаж, ком. 403"
"https://vodexpo.ru/katalog/tproduct/514362613-410140896062-regionmostostroi-ooo";"РЕГИОНМОСТОСТРОЙ, ООО";"https://region-ms.ru";"+7 932 606 87 48";"liner@region-ms.ru";"";"D2";"Респ. Башкортостан, г.о. город Уфа, ул. Революционная, д. 221, ОФИС 503"
"https://vodexpo.ru/katalog/tproduct/514362613-377700697362-ekotehdez-ooo";"ЭКОТЕХДЕЗ, ООО";"https://ecotechdez.ru";"+7 953 579 19 08";"ecotechdez@yandex.ru";"";"F5";"603093, г. Нижний Новгород, ул. Родионова, д. 192, корп.5, кв. 106"
"https://vodexpo.ru/katalog/tproduct/514362613-606068870682-gles-grupp-inzhiniring-ooo";"ГЛЕС ГРУПП ИНЖИНИРИНГ, ООО";"https://www.legend-air.ru";"8 (812) 667-82-82";"info@legend-air.ru";"";"E33";"188692, Ленинградская область, Всеволожский район г. Кудрово ул.Центральная 37 оф.45"
"https://vodexpo.ru/katalog/tproduct/514362613-574352394842-ekohimpribor-ooo-npp";"ЭКОХИМПРИБОР, ООО НПП";"https://ecohimpribor.ru/";"8 (495) 662-32-21";"info@ecohimpribor.ru";"";"E14";"г. Дубна, ул. Университетская, д. 11, стр. 14"
"https://vodexpo.ru/katalog/tproduct/514362613-738031954162-asos-rus-ooo";"АСОС РУС, ООО";"https://www.asos.com.tr/";"+7 (495) 221 61 33";"russia@asos.com.tr";"";"E34";"123610,Г.Москва, вн.тер.г. Муниципальный округ Пресненский, Наб. Краснопресненская, д. 12,помещ. 1/13"
"https://vodexpo.ru/katalog/tproduct/514362613-827072864122-akvaraim-ooo";"АКВАРАЙМ, ООО";"https://www.xn--80aaag1bcs3a.xn--p1ai/";"+7 (495) 970-31-01";"info@aquarhyme.com";"";"E1";"111024, г. Москва, ул. Авиамоторная, д. 55, стр. 31, оф. 3961"
"https://vodexpo.ru/katalog/tproduct/514362613-752179059482-tsenner-vodopribor-ltd-ooo-firma";"ЦЕННЕР-ВОДОПРИБОР ЛТД, ООО ФИРМА";"https://minol-service.ru/";"8-495-663-73-97, +7 (3452) 681 343";"office@zenner.ru";"";"A13";"г. Москва, ул. Маломосковская, д. 22, стр. 4"
"https://vodexpo.ru/katalog/tproduct/514362613-605512876902-kntp-ooo";"КНТП, ООО";"http://www.kntp-project.ru";"+7 (499) 372-14-12";"info@kntp-project.ru";"";"P11";"117403, г. Москва, Востряковский проезд, д.10Б, стр.2"
"https://vodexpo.ru/katalog/tproduct/514362613-998947207792-daoyunai-energy-saving-technology-suqian";"DAOYUNAI ENERGY SAVING TECHNOLOGY SUQIAN COMPANY";"https://www.cipp-uv.com/";"+8613641967601";"aaron@cipptech.com";"";"A14";""
