Ссылка;Название;Сайт;Телефон;Email;Страна
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8e7ce63aa2ec916702e22";"Jiangsu Liyu Razor Co., Ltd";"https://www.maxrazor.cn";"+86 152 6865 0377";"joyce@maxrazor.cn";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bd4751bf20eabdcc82d02a";"JIANGSU SANXIAO GROUP CO.,LTD";"https://WWW.SXCO.CN";"+86 139 5143 0547";"liyan@sxco.cn";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b7ea0e38bf0128037a330d";"JIANGSU VICHEN COMPOSITE MATERIAL CO.,LTD";"https://www.ivchomy.com";"+86 138 5168 1770";"wendy@teflon-fabric.cn";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b3e33d38bf012803795b56";"JINJIANG ANTING SANITARY PRODUCTS CO., LTD.";"https://www.an-ting.com";"+86 139 0507 5592";"Claudiazhuang@hotmail.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8f39563aa2ec9167047b2";"JULY&BUNNY";"https://www.lilywetwipes.com";"+86 157 1589 0702";"LILY@FRESHTOWELS.CC";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698343df259a9c284b79e70b";"KNEISSmi";"https://www.kneissmi.ru";"+89139156118";"casada2@mail.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab579e9a2cb09aad44e12";"LIDER KOZMETIK";"https://www.liderkozmetik.com";"+90 554 300 35 75";"mpolat@liderkozmetik.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985c252259a9c284b7c75cf";"Merelle";"https://www.premiummix.ru";"+7 910 608 30 47";"info@premiummix.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69848a91259a9c284b7bbc0d";"Mkapaint";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8ed3963aa2ec916703c3e";"MKR";"https://mkrsales1@163.com";"+86 574 8839 8186";"mkrsales1@163.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bd1c3e94c379668b31733c";"Myungin Cosmetics Co., Ltd.";"https://myungincos.com/";"+82 2 6280 7912";"business@myungincos.com";"KOR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8e9f563aa2ec91670342a";"Niceday";"https://Yana@everyniceday.com";"+86";"Yana@everyniceday.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bcfbfc4761c8ac0dbf3636";"NINGBO HAOTING ARTICLE FOR DAILY USE CO.,LTD";"";"+86 158 6728 1508";"wayne@haoting.com.cn";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8ebfc63aa2ec9167039cd";"Ningbo Jiali Century Group Co.,Itd";"https://www.goodmaxblade.com";"+86 158 8852 1929";"john@nbjiali.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bc02a1e08783535c808862";"OKVision";"https://Окей Вижен";"+7 904 173 63 84";"a.allakhgulieva@okvision.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69c39471f2b25194bf647849";"ROTA KIMYA";"https://www.rotakimya.com";"+90 536 847 41 64";"esra@rotakimya.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab629e9a2cb09aad44ee1";"SARACOGLU TURIZM VE CEVRE TEKNOLOJILERI SAN TIC AS";"https://www.profsaracoglu.com";"+90 532 725 49 67";"caglarkublay@profsaracoglu.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bd46c1bf20eabdcc82d00d";"SHANDONG DREAM LAND HOUSEWARE CO.,LTD";"";"+86 156 6606 2780";"mia@wfdreamland.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8b46a63aa2ec9166ff128";"Shanghai Finice Commodity Co., Ltd.";"https://finicecleaning.com/";"+86 173 0165 7899";"leo@finice.com.cn";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bd4467218e3d2c2ff777cd";"SHANGHAI FOLIAGE INDUSTRY CO.,LTD";"";"+86 198 2160 6188";"trade2@hulijia.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69ae682806871b457c8c74f6";"SUZHOU LILANG COSMETICS TECHNOLOGY CO.,LTD.";"";"+86 186 5118 0718";"gloryinc2004@163.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aa9b8ee9a2cb09aad43f10";"Swara Baby";"https://swarababy.com/";"+91 82260 97000";"swarababy@swarababy.com";"IND"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69ba3e6071b30975d9a7f712";"TCI CO., LTD.";"https://www.tci-bio.com/";"+31 070 239 003";"jasmine.pham@tci-bio.com";"NLD"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69a571cb5f1ce8ae7c3eb426";"TheAromaShop";"https://thearomashop.ru";"+7 981 871 99 07";"olga_spb@veique.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698490b7259a9c284b7bc73c";"Top Level";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69c3d63c6ff92b47a7ec58c7";"Tunisia Embassy";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69a572c45f1ce8ae7c3eb524";"UNITED HYGIENE";"https://www.unitedhygiene.kz";"+7 701 469 5280";"info@unitedhygiene.kz";"KAZ"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab47be9a2cb09aad44d6d";"UZMAN COSMETIC";"https://www.uzmancosmetic.com";"+90 554 930 88 77";"export@purixima.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69833f4e259a9c284b79d4b6";"Weckerle Cosmetics";"https://www.wecatalog.ru";"+7 925 145 07 70";"sales@weckerle.com.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8e13763aa2ec916702112";"WEHOO HYGIENE";"https://hygieneunion.com/";"+86 137 8885 0834";"eric@wehoohygiene.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b92add38bf0128037adaa3";"WHOZE PET INC";"";"+86 136 8192 9241";"shan.huang@huwzze.com";"USA"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b3e87738bf012803795e9e";"XIAMEN HULI FENGYI промышленная компания с ограниченной ответственностью";"https://WWW.FENGYIXM.COM";"+86 592 596 5878";"SALES@FENGYIXM.COM";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8ea8563aa2ec9167035d2";"Yangzhou Dexing Toothbrush";"https://toothbrushes-dexing.qiyeshangpu.com/";"+86 186 5275 9299";"";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bd42da218e3d2c2ff77704";"YANGZHOU JASMINE BRUSH INDUSTRIAL CO.,LTD";"";"+86 136 6521 1812";"407333167@qq.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d8ec4c63aa2ec916703a8c";"Yangzhou Star Oral Care Products Co.,Ltd";"https://www.toothbrush.com.cn";"+86 514 8749 9199";"Jessica@oralstar.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b91bfd38bf0128037ad040";"YANGZHOU XINHUA BRUSHES CO.,LTD";"https://www.xinhua-brush.com";"+86 138 5270 5066";"maggieyin2000@foxmail.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab82be9a2cb09aad4509d";"YC MADENCILIK";"https://www.kumicat.com";"+90 212 515 04 64";"info@kumicat.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab6ace9a2cb09aad44f5e";"YENEL BOX";"https://www.yeneletiket.com";"+90 537 433 02 03";"yeneletiket@mail.ru, info@yeneletiket.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b93f7c38bf0128037ae7e2";"ZHONGSHAN HONGTIAN PLASTICS ENTERPRISE CO.,LTD";"";"+86 136 3115 2780";"selina@hongtianf.com";"CHN"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985cf86259a9c284b7c868d";"АБАР";"https://абар.рф";"+7 879 225 70 55";"abar07@mail.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985c916259a9c284b7c7c78";"АВ Тауэр";"https://avtower.ru/";"+7 915 221 32 41";"contract@avtower.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6981efd3259a9c284b7720a8";"Авангард";"https://www.avangardspb.com";"+7 499 112 00 00";"evgeniya@avangardspb.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698341e7259a9c284b79de95";"Авилор";"https://www.avilori.ru";"+7 495 989 74 31";"r.kot@avvilori.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985c0fa259a9c284b7c73a7";"Адищевская бумажная фабрика";"https://tual-bum.ru";"+7 499 929 08 24";"info@tual-bum.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985d195259a9c284b7c89f2";"Алтайвитамины";"https://www.altayvitamin.ru";"+7 385 432 76 67";"okn@altayvitamin.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69848975259a9c284b7bb9a0";"Алфит Плюс";"https://alfitplus.ru/";"+7 385 250 35 00";"alfitplus@mail.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bc049ee08783535c808a2b";"АО МираксБиоФарма";"https://mbpharma.ru/";"+7 495 721 20 58";"info@mbpharma.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6984890e259a9c284b7bb919";"АРНЕСТ";"https://www.arnestcom.ru";"+7 905 503 56 00";"";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6984855c259a9c284b7bb310";"Арсенал Атлета";"https://yozavod.ru/";"+7 499 272 77 19";"info.yozavod@ya.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69849164259a9c284b7bc8d7";"Артон";"https://artonsib.ru";"+7 383 262 02 04";"a.konevacopir@yandex.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985b34c259a9c284b7c625b";"АС-ФАРМ";"https://as-farm.ru";"+7 800 600 36 07";"rop@as-farm.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aab79fe9a2cb09aad44ff9";"АСЛАНКАЯ КИМИЯ";"https://www.aslankayakimya.com";"+90 533 461 48 47";"ridvan@aslankaya.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985cfc7259a9c284b7c86ce";"АСФАРИ ЛЕЙБ ЛАБ";"https://asfarylabellab.ru";"+7 985 316 60 06";"asfarylab@mail.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69a573935f1ce8ae7c3eb5dd";"АЭРО-ПРО";"https://www.aerosol-pro.ru";"+7 800 250 45 26";"pl-info@aerosol-pro.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698485c9259a9c284b7bb3ed";"Аэростар";"https://www.aerostarcontract.com";"+7 499 519 66 31";"sales@aerostarcontract.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698493ab259a9c284b7bceaf";"Бел-Пласт Интернэшнл";"https://www.bel-plast.com";"+375 154 61 69 56";"info@bel-plast.com";"BLR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69833dee259a9c284b79d06f";"БелЭмса";"https://belemsa.com/";"+375 29 380 93 90";"oksana@belemsa.com";"BLR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bbf70fe08783535c80782b";"Биодинамика";"https://eco-farmer.ru/";"+7 861 204 08 48";"info@eco-farmer.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69848c5b259a9c284b7bbf19";"Биокор";"https://www.biokor.ru";"+7 902 341 41 11";"hvorov@biokor.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bc0265e08783535c808840";"БиофармаТ";"https://biofarmat.ru/";"+7 905 159 75 11";"biofarmat@mail.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bc0373e08783535c808936";"БИОФАРМЛАБ";"http://biopharmlab.ru/";"+7 926 214 08 05";"tender@zeldis.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985c978259a9c284b7c7cda";"Бьюти Сизонс";"https://www.beauty-seasons.ru";"+7 499 113 40 38";"Contract@beauty-seasons.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985b2e9259a9c284b7c618b";"Ваше хозяйство";"https://vhoz.ru";"+7 930 056 19 37";"vipclient@vhoz.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69848757259a9c284b7bb61c";"ВИЛЛМЕД";"https://willmed.ru";"+7 800 511 13 70";"zakaz@willmed.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985bea4259a9c284b7c700d";"Вимарт";"https://www.vimart-oem.pro";"+7 926 569 99 94";"oem@vimart.pro";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69ca929d63aa2ec9166541fe";"ВИНЛАБ НУТРИШИН";"https://www.wildberries.ru/seller/50708";"+7 930 913 29 79";"info@1win-group.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bc032be08783535c8088ee";"Вита-Стандарт";"https://vitastandart.com/ctm";"+7 800 201 04 18";"info@vitastandart.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69848c02259a9c284b7bbe7c";"Витамин Продукт";"https://vitam.pro";"+7 961 984 89 54";"zotov@aveobio.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69834354259a9c284b79e43d";"Вокруг Света";"https://ru.kkbc.ru/";"+7 495 639 91 13";"info@kkbc.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985d1f9259a9c284b7c8ad9";"Волгоградбытхим";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985b1e7259a9c284b7c5f71";"Восток";"https://biohayat.ru";"+7 928 677 50 50";"hayatcenter1991@mail.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985c2cb259a9c284b7c7659";"Гельтек";"https://geltek.ru/cosmetics/";"+7 495 212 93 66";"info@geltek.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69dcedff63aa2ec916723118";"ГК «СмолТойс»";"https://smoltoys.ru";"+7 991 349 08 19";"region6@smoltoys.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985c4dc259a9c284b7c78c0";"ГК ПЕЛИГРИН";"https://www.peligrin.ru";"+7 499 322 01 77";"info@peligrin.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698488cf259a9c284b7bb8cb";"Глобал Сайнтифик Ресерч Лаборатори";"https://gsrlab.pro/";"+7 499 938 77 30";"marketing@gsrlab.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69833652259a9c284b79b43f";"Две линии";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69a573505f1ce8ae7c3eb5af";"ДЕАРТ ГРУПП";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69c544f96ff92b47a7ed59d6";"ДЕЛЬТА ПРИНТ Т";"https://?? www.delta-print.ru ,www.deltaprintt.ru";"+7 495 822 17 21";"";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698340c2259a9c284b79da7b";"Драйлок Текнолоджиз";"https://www.drylocktechnologies.com/ru/";"+7 831 200 77 77";"sales@drylocktechnologies.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985caaf259a9c284b7c7f0f";"ЕвроТек";"https://zallarus.com/";"+7 495 252 50 00";"info@zallarus.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bc03a6e08783535c808968";"Жива Продукт ПРО";"https://dzivaproduct.ru/";"+7 903 448 66 44";"info@dzivaproduct.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69d4b24d63aa2ec9166b9773";"Журнал ""Сырье и упаковка""";"https://www.cosmetic-industry.com";"+7 916 630 07 88";"smirnova.natasha36@yandex.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985caf2259a9c284b7c7f6e";"ЗАВОД КОСМЕТИКИ";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985d116259a9c284b7c8934";"Завод нетканых материалов Неоспан";"https://neospan.ru";"+7 922 100 82 86";"zmm@neospan.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985d0bf259a9c284b7c8853";"Зеленая Дубрава з";"https://mazi.ru/";"+7 916 982 42 55";"a.trushina@mazi.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698491b3259a9c284b7bc98e";"ИМБИАН ЛАБ";"https://www.imbian.ru";"+7 499 957 83 34";"info@imbian.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6984901b259a9c284b7bc639";"Инат-фарма";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69833e7b259a9c284b79d217";"Инстанта Рус";"http://www.instanta.su/";"+7 495 641 01 15";"OFFICE@INSTANTA.SU";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aabc94e9a2cb09aad45336";"КАР-ДАГ КАРАДЕНИЗ ГИДА ДАГИТИМ ТЕМИЗЛИК ВЕ САГЛИК УРУН.САН. ВЕ ТИЦ. КАК.";"https://www.kardag.com";"+90 537 788 47 86";"info@kardag.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69833737259a9c284b79b7ca";"Катрин лаборатория";"https://www. katrin-lab.ru";"+7 351 245 99 14";"grinvald@katrin-lab.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985ce84259a9c284b7c852b";"КЗПМ";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698341b7259a9c284b79ddd3";"Кондитерская фабрика ""ПОБЕДА";"https://www.pobedavkusa.ru";"+7 495 783 68 62";"k.lebedev@pobedavkusa.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69aaba6be9a2cb09aad451a9";"Косметика Мирьяна";"https://www.miryanakozmetik.com";"+90 232 431 30 40";"export@miryanakozmetik.com";"TUR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69833a9e259a9c284b79c401";"Косметические решения";"https://cosmetic-solutions.ru/";"+7 495 357 15 95";"zakaz@cosmetic-solutions.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69c54aaa6ff92b47a7ed60c3";"Крита";"https://www.krita.ru";"+7 495 105 97 04";"krita@krita.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698489c1259a9c284b7bba70";"Куафер";"https://kuafer.ru/";"+7 495 181 26 28";"e.parfenova@kuafer.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69b40ccc38bf012803796f60";"Лекс";"https://www.fmc-goods.ru";"+7 495 234 59 21";"offer@lex21.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69833a57259a9c284b79c301";"М.К. Асептика";"https://aseptica.ru/ru";"+7 495 660 18 00";"mk@aseptica.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985ca73259a9c284b7c7ecc";"Мастерская Олеси Мустаевой";"https://master-om.com";"+7 800 500 60 30";"info@master-om.com";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698343ad259a9c284b79e5d0";"МЕДМИЛ";"https://www.medmill.ru";"+7 922 166 64 26";"kd@medmill.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69bc02d1e08783535c80888a";"Мезоформула";"https://www.mesoformula.ru";"+7 495 663 23 45";"info@mesoformula.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985be47259a9c284b7c6f87";"Метафарм";"";"";"";""
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6985d040259a9c284b7c8758";"Миофарм";"https://www.miopharm.info";"+7 910 008 66 50";"a.sanakoeva@miopharm.info";"ISR"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=69834224259a9c284b79dfb3";"МираЛюкс";"https://miraluxe.ru";"+7 912 068 14 48";"info@miraluxe.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=698336ff259a9c284b79b6fb";"Мирролла";"https://www.mirrolla.ru";"+7 812 425 15 51";"sap@mirrolla.ru";"RUS"
"https://sobmaexpo.ru/exhibitor-directory?exhibitor=6984928a259a9c284b7bcbe4";"Модум";"https://www.modum.by";"+375 17 319 94 94";"stm@modum.by";"BLR"
