Ссылка;Название;Сайт;Категории
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM0NTM=";"AKKON LINES";"http://www.akkonlines.com/";"Морские и речные перевозки Морские линии / Судоходные компании Рефрижераторные морские перевозки Морские контейнерные перевозки Перевозки в цистернах и танк-контейнерах"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU2NzA=";"ALYLOG?ST?CS";"https://www.alylogistics.com.tr/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Морские и речные перевозки Морские линии / Судоходные компании Негабаритные перевозки и проектные грузы Проектные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjAxMjI=";"Anhui Younglift Intelligent Equipment Co., Ltd";"https://www.yongjieli.com/";"SkladTech складское оборудование и технологии Подъемно-транспортное оборудование Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Прочие грузовые агенты Автомобильные грузовые перевозки Контейнерные автоперевозки Морские и речные перевозки Агенты морских линий"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTcyODE=";"AntGO Logistics";"https://antgo-logistics.ru/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Авиаперевозки сборных грузов Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Национальная железная дорога"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU3MjE=";"Ardena Group";"https://ardena.uz/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги 3PL / 4PL Мультимодальные и интермодальные перевозки Последняя миля Грузовые авиаперевозки Рефрижераторные авиаперевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM3NjI=";"ARRC LINE";"http://www.arrcm.com/";"Морские и речные перевозки Морские линии / Судоходные компании Агенты морских линий Операторы по перевозке грузов морским транспортом Грузоперевозки навалочных, тяжеловесных и ро-ро грузов Морские контейнерные перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM4Mzc=";"Artwms";"ОШИБКА";"ОШИБКА"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwNDU=";"ASB SUPPLY CHAIN CO.,LIMITED";"https://www.asb-china.com/zh/containe";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMxNjg=";"Asia MH";"https://asiamh.ru/";"SkladTech складское оборудование и технологии Подъемно-транспортное оборудование Запасные части и комплектующие Шины для складской техники Автоматизация и роботизация склада"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM0MjA=";"ATC Global Logistics";"https://qtavia.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Авиаперевозки сборных грузов Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Автомобильные перевозки сборных грузов"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM0OTU=";"ATI.SU";"https://ati.su/";"Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам ИТ-решения Биржи грузоперевозок, электронные сервисные платформы, агрегаторы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTc4NDg=";"ATK GROUP";"http://www.atkterminal.ru/";"Комплексные логистические услуги и экспедирование грузов Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Контейнерные автоперевозки Железнодорожные перевозки грузов Контейнерные жд-перевозки Морские и речные перевозки Морские контейнерные перевозки Поставщики оборудования и компонентов Контейнеры"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM5MDA=";"ATU FORWARDING";"https://atu-forwarding.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги 3PL / 4PL Мультимодальные и интермодальные перевозки Негабаритные перевозки и проектные грузы Проектные грузы Тяжеловесные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMxMjM=";"Aurora Forklift";"https://aurora-forklift.ru/";"SkladTech складское оборудование и технологии Подъемно-транспортное оборудование Запасные части и комплектующие Поставщики оборудования и компонентов Краны и погрузочно-разгрузочное оборудование Оборудование для портов и терминалов Комплектующие для оборудования"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMzMTU=";"AXELOT";"https://www.axelot.ru/";"SkladTech складское оборудование и технологии Подъемно-транспортное оборудование WMS, IT решения для склада Автоматизация и роботизация склада ИТ-решения Системы управления транспортом (TMS) Управление цепочками поставок (SCM)"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYxMjA=";"BAIJI SUPPLY CHAIN";"http://best-ji.com/";"Комплексные логистические услуги и экспедирование грузов Мультимодальные и интермодальные перевозки Грузовые авиаперевозки Авиаперевозки сборных грузов Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Операторы грузовых железнодорожных перевозок Морские и речные перевозки Морские контейнерные перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjExOTk=";"Baltic Express Line";"https://balticexpress.be/";"Морские и речные перевозки Морские линии / Судоходные компании Агенты морских линий Операторы по перевозке грузов морским транспортом Грузоперевозки навалочных, тяжеловесных и ро-ро грузов Рефрижераторные морские перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjE0MDY=";"Baltic Feeder";"https://www.balticfeeder.eu/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Морские и речные перевозки Морские линии / Судоходные компании Агенты морских линий Морские контейнерные перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM2MzA=";"BALTIC LAND";"http://balticland.ru/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Контейнерные жд-перевозки Морские и речные перевозки Морские контейнерные перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjE2NzY=";"Baltic Master";"https://balticmaster.ru/";"SkladTech складское оборудование и технологии Оборудование и материалы для упаковки и комплектации заказов Сервисное оборудование и инженерные системы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMxNDQ=";"Barrus Projects";"https://barrusprojects.com/ru/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Последняя миля Негабаритные перевозки и проектные грузы Проектные грузы Сопутствующие услуги Таможня, таможенное оформление, ВЭД"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjEyODA=";"BARS LOGISTICS INTERNATIONAL TRANSPORT COMPANY";"https://www.barslojistik.com/";"Комплексные логистические услуги и экспедирование грузов Последняя миля Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Негабаритные перевозки и проектные грузы Проектные грузы Логистические, распределительные центры и терминалы Складской распределительный центр"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU5OTE=";"Beijing Amigo Cargo Service Co., Ltd";"https://www.amigocargo.biz/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Прочие грузовые агенты Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Негабаритные перевозки и проектные грузы Негабаритные грузы Сопутствующие услуги Таможня, таможенное оформление, ВЭД"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwOTA=";"Beijing Yuerui international transportation CO.,LTD";"http://www.yueruibj.com/";"Комплексные логистические услуги и экспедирование грузов Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Автомобильные перевозки сборных грузов Контейнерные автоперевозки Железнодорожные перевозки грузов Контейнерные жд-перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjM3OTc=";"BONEX GROUP";"https://bg-floor.ru/";"Сопутствующие услуги Прочие услуги"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM2NTc=";"BQB Express";"https://bqb.ru.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Грузовые авиаперевозки Авиаперевозки сборных грузов Логистика для e-commerce Курьерская служба и экспресс-доставка Сопутствующие услуги Таможня, таможенное оформление, ВЭД"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwNjA=";"Camel Alliance Logistics LIMITED";"https://www.camelalliance.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Операторы грузовых железнодорожных перевозок Негабаритные перевозки и проектные грузы Проектные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTc2MjM=";"?AMG?L?M LOJISTIK DIS TICARET LIMITED SIRKETI";"https://www.camgulum.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Автомобильные грузовые перевозки Автомобильные перевозки сборных грузов Железнодорожные перевозки грузов Контейнерные жд-перевозки Морские и речные перевозки Агенты морских линий"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTQ5MzU=";"Capital Uluslararas? Ta??mac?l?k ve D?? Ticaret";"https://www.capitaltasimacilik.com.tr/";"Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Негабаритные перевозки и проектные грузы Проектные грузы Логистика для e-commerce Курьерская служба и экспресс-доставка Сопутствующие услуги Таможня, таможенное оформление, ВЭД"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM2NzI=";"Cargo Line Smolensk LLC";"https://cargoline.su/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Рефрижераторные автоперевозки Негабаритные перевозки и проектные грузы Проектные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjEyMjM=";"CargoBooking365.com";"https://cargobooking365com.ru/";"ИТ-решения Биржи грузоперевозок, электронные сервисные платформы, агрегаторы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTgwNjE=";"CGS Express";"https://cgs-express.ru/";"Грузовые авиаперевозки Авиаперевозки сборных грузов Автомобильные грузовые перевозки Автомобильные перевозки сборных грузов Контейнерные автоперевозки Железнодорожные перевозки грузов Перевозки жд-грузов в вагонах и полувагонах Контейнерные жд-перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjE3MDM=";"Chengdu Tiechi Silk Road Supply Chain Management Co., Ltd.";"http://www.tsrscm.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Последняя миля"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwMDY=";"Chongqing Enpower Supply Chain Management Co., Ltd";"https://www.enpower-scm.cn/ru";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Контейнерные жд-перевозки Негабаритные перевозки и проектные грузы Негабаритные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMyOTE=";"Container-Deshevo";"https://container-deshevo.ru/";"Автомобильные грузовые перевозки Контейнерные автоперевозки Железнодорожные перевозки грузов Контейнерные жд-перевозки Морские и речные перевозки Морские контейнерные перевозки Порты и терминалы, услуги по обработке грузов в портах Услуги по обработке грузов в портах и терминалах Логистические, распределительные центры и терминалы Терминально-логистические центры"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwMDM=";"CR Freight Co., Ltd";"https://www.crfreight.cn/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Национальная железная дорога Морские и речные перевозки Морские линии / Судоходные компании"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM0NjU=";"CRTG";"https://crtg.world/";"Железнодорожные перевозки грузов Перевозки жд-грузов в вагонах и полувагонах Контейнерные жд-перевозки Железнодорожные перевозки сборных грузов Морские и речные перевозки Морские контейнерные перевозки Негабаритные перевозки и проектные грузы Негабаритные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMxNzc=";"CИНОРУТРАНС";"http://sinorutrans.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиаперевозки сборных грузов Железнодорожные перевозки грузов Контейнерные жд-перевозки Железнодорожные перевозки сборных грузов Морские и речные перевозки Морские контейнерные перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM1MzQ=";"DEALLOG";"https://deallog.ru/";"Комплексные логистические услуги и экспедирование грузов Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Автомобильные перевозки сборных грузов Негабаритные перевозки и проектные грузы Негабаритные грузы Сопутствующие услуги Таможня, таможенное оформление, ВЭД"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYxMzI=";"DMTRANS INTERNATIONAL LIMITED";"http://dmtrans.com.cn/";"SkladTech складское оборудование и технологии Оборудование для маркировки и сканирования Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Национальная железная дорога Контейнерные жд-перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTc5ODY=";"E1 CARD";"https://e1-card.ru/";"Сопутствующие услуги Топливные карты ИТ-решения Прочие ИТ-решения"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM2OTk=";"EME";"https://eme-wms.ru/";"SkladTech складское оборудование и технологии WMS, IT решения для склада Автоматизация и роботизация склада ИТ-решения Системы управления транспортом (TMS) Прочие ИТ-решения"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU2OTQ=";"EMKAY SHIPPING LINES";"https://emkayline.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Морские и речные перевозки Морские линии / Судоходные компании Агенты морских линий Рефрижераторные морские перевозки Поставщики оборудования и компонентов Контейнеры"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjY1MzY=";"ESHIP GLOBAL LOGISTICS INDIA PRIVATE LITMITED";"https://e-shipline.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Морские и речные перевозки Агенты морских линий Рефрижераторные морские перевозки Перевозки в цистернах и танк-контейнерах Поставщики оборудования и компонентов Контейнеры"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM0ODY=";"EURASIA LOGISTICS";"https://eurasia-logistics.ru/?utm_source=transrussia26";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Негабаритные перевозки и проектные грузы Проектные грузы Негабаритные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM3NTk=";"Export From Russia";"https://exportfromrussia.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Поставщики оборудования и компонентов Комплектующие для оборудования Прочее оборудование Сопутствующие услуги Таможня, таможенное оформление, ВЭД"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMzOTk=";"Express Oriental, ТОО";"https://oriental.kz/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Железнодорожные перевозки грузов Перевозки жд-грузов в вагонах и полувагонах Обсуживание и ремонт подвижного состава Контейнерные жд-перевозки Рефрижераторные жд-перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU3MTg=";"FB Logistics (TFS Trans)";"http://www.tfstrans.lv/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги 3PL / 4PL Грузовые авиаперевозки Авиаперевозки сборных грузов Логистические, распределительные центры и терминалы Терминально-логистические центры Логистика для e-commerce Фулфилмент"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTMyNDY=";"FESCO";"https://www.fesco.ru/ru/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги 3PL / 4PL Мультимодальные и интермодальные перевозки Порты и терминалы, услуги по обработке грузов в портах Порты Негабаритные перевозки и проектные грузы Проектные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjA4MDM=";"FF Cargo Services LTD";"https://ffcargo.com/";"Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Прочие грузовые агенты"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjQwNDY=";"FIRST";"https://1logistik.ru/";"SkladTech складское оборудование и технологии Стеллажные системы Подъемно-транспортное оборудование Автоматизация и роботизация склада"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU5NDk=";"GH Forwarding";"https://www.ghforwarding.com.cn/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Железнодорожные перевозки грузов Операторы грузовых железнодорожных перевозок Логистика для e-commerce Организация складского хранения"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjQ0ODc=";"Glarus BI";"https://glarus-bi.ru/";"SkladTech складское оборудование и технологии WMS, IT решения для склада Автоматизация и роботизация склада ИТ-решения Системы управления транспортом (TMS) Управление цепочками поставок (SCM) Прочие ИТ-решения"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwMDA=";"Global Service Logistics";"https://www.gaosheng56.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Автомобильные перевозки сборных грузов Железнодорожные перевозки грузов Железнодорожные перевозки сборных грузов"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjE3NTE=";"GLOBEX SHIPPING LLP";"https://www.globexship.in/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Контейнерные автоперевозки Логистика для e-commerce Организация складского хранения Железнодорожные перевозки грузов Национальная железная дорога"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MjExMzY=";"GREEN GROUP LOGISTICS RUS";"https://greengroup-scm.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Последняя миля Автомобильные грузовые перевозки Контейнерные автоперевозки Железнодорожные перевозки грузов Контейнерные жд-перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM2NzU=";"GROWEX";"ОШИБКА";"ОШИБКА"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwOTY=";"Guangzhou Chinasky International Trade Co., Ltd.";"https://chinaskyco.ru/";"SkladTech складское оборудование и технологии Оборудование и материалы для упаковки и комплектации заказов Комплексные логистические услуги и экспедирование грузов Мультимодальные и интермодальные перевозки Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Логистические, распределительные центры и терминалы Терминально-логистические центры Сопутствующие услуги Таможня, таможенное оформление, ВЭД"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwMjE=";"Guangzhou Eagleway international freight agency co., LTD";"https://eagleway.ru/";"SkladTech складское оборудование и технологии Оборудование и материалы для упаковки и комплектации заказов Комплексные логистические услуги и экспедирование грузов Мультимодальные и интермодальные перевозки Грузовые авиаперевозки Авиаперевозки сборных грузов Автомобильные грузовые перевозки Контейнерные автоперевозки Железнодорожные перевозки грузов Контейнерные жд-перевозки"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTYwMzY=";"GUANGZHOU ETY TRANS INTERNATIONAL FREIGHT FORWARDING CO.,LTD";"https://www.cnetytrans.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Автомобильные грузовые перевозки Транспортные компании по грузовым автоперевозкам Железнодорожные перевозки грузов Национальная железная дорога Негабаритные перевозки и проектные грузы Проектные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTU5NTI=";"GUANGZHOU LANGTIAN SUPPLY CHAIN CO., LTD";"http://www.ltscglobal.com/";"Комплексные логистические услуги и экспедирование грузов Экспедиторские услуги Мультимодальные и интермодальные перевозки Грузовые авиаперевозки Авиакомпании / Грузовые авиаперевозчики Негабаритные перевозки и проектные грузы Проектные грузы Негабаритные грузы"
"https://exhibitors-itegroup.exhibitoronlinemanual.com/trans-russia-2026/ru/Exhibitor/ExbDetails/MTM3MjM=";"Guard";"";"Логистические, распределительные центры и терминалы Терминально-логистические центры Логистика для e-commerce Организация складского хранения Поставщики оборудования и компонентов Цистерны, танк-контейнеры Контейнеры"
